affect;likableness;category
85.5;80;AffectiveLikable
44;80.5;AffectiveLikable
100;100;AffectiveLikable
63.5;93;AffectiveLikable
100;95;AffectiveLikable
95;100;AffectiveLikable
100;95.5;AffectiveLikable
57.5;79;AffectiveLikable
90;87.5;AffectiveLikable
97.5;97.5;AffectiveLikable
93.5;89;AffectiveLikable
95;100;AffectiveLikable
80;89.5;AffectiveLikable
86.5;83;AffectiveLikable
