affect;likableness;category
94;69.5;AffectiveLikable
100;80;AffectiveLikable
100;72.5;AffectiveLikable
66;74;AffectiveLikable
83;75;AffectiveLikable
84.5;80;AffectiveLikable
53.5;65;AffectiveLikable
87.5;75;AffectiveLikable
54;85;AffectiveLikable
85.5;80.5;AffectiveLikable
77;74.5;AffectiveLikable
95;67.5;AffectiveLikable
60;77.5;AffectiveLikable
92;72;AffectiveLikable
84.5;80;AffectiveLikable
82;51;AffectiveLikable
79.5;39.5;AffectiveLikable
65.5;70.5;AffectiveLikable
35;40;AffectiveLikable
83;82;AffectiveLikable
92.5;77.5;AffectiveLikable
84.5;80;AffectiveLikable
100;49.5;AffectiveLikable
60.5;79.5;AffectiveLikable
67.5;77.5;AffectiveLikable
100;70;AffectiveLikable
75;73;AffectiveLikable
62.5;75;AffectiveLikable
65.5;89.5;AffectiveLikable
87;71;AffectiveLikable
100;75;AffectiveLikable
90;20;AffectiveLikable
85;72.5;AffectiveLikable
71;86.5;AffectiveLikable
85.5;80;AffectiveLikable
94.5;76.5;AffectiveLikable
46.5;56.5;AffectiveLikable
94;82;AffectiveLikable
78;59.5;AffectiveLikable
88.5;77.5;AffectiveLikable
80.5;76.5;AffectiveLikable
100;86;AffectiveLikable
95;80;AffectiveLikable
86.5;90.5;AffectiveLikable
45.5;80.5;AffectiveLikable
95.5;69.5;AffectiveLikable
80;80;AffectiveLikable
63.5;60.5;AffectiveLikable
90;70;AffectiveLikable
72.5;63.5;AffectiveLikable
100;62.5;AffectiveLikable
100;59.5;AffectiveLikable
100;49.5;AffectiveLikable
59;69;AffectiveLikable
100;62.5;AffectiveLikable
100;85;AffectiveLikable
92.5;91;AffectiveLikable
87.5;90;AffectiveLikable
76.5;60;AffectiveLikable
88;90.5;AffectiveLikable
0.5;17.5;AffectiveUnlikable
30;20;AffectiveUnlikable
27.5;22.5;AffectiveUnlikable
42.5;7.5;AffectiveUnlikable
37;15;AffectiveUnlikable
13.5;15.5;AffectiveUnlikable
63.5;8.5;AffectiveUnlikable
67;19;AffectiveUnlikable
13;24;AffectiveUnlikable
21.5;17.5;AffectiveUnlikable
35;11.5;AffectiveUnlikable
21;4.5;AffectiveUnlikable
56;0;AffectiveUnlikable
83.5;8.5;AffectiveUnlikable
85;0;AffectiveUnlikable
49.5;7.5;AffectiveUnlikable
25;10;AffectiveUnlikable
54.5;15;AffectiveUnlikable
0;20;AffectiveUnlikable
93;1;AffectiveUnlikable
7.5;15;AffectiveUnlikable
89.5;0;AffectiveUnlikable
87.5;6.5;AffectiveUnlikable
49.5;33;AffectiveUnlikable
42.5;2.5;AffectiveUnlikable
77.5;1;AffectiveUnlikable
88;7.5;AffectiveUnlikable
95;0;AffectiveUnlikable
25.5;0;AffectiveUnlikable
34.5;2;AffectiveUnlikable
5;9.5;AffectiveUnlikable
0;0;AffectiveUnlikable
92.5;5;AffectiveUnlikable
29.5;13.5;AffectiveUnlikable
5;4.5;AffectiveUnlikable
63.5;1;AffectiveUnlikable
83;2.5;AffectiveUnlikable
82.5;1.5;AffectiveUnlikable
42;15;AffectiveUnlikable
80;9.5;AffectiveUnlikable
31;10.5;AffectiveUnlikable
26;18;AffectiveUnlikable
46;15;AffectiveUnlikable
73;12;AffectiveUnlikable
64;0.5;AffectiveUnlikable
59.5;10;AffectiveUnlikable
70;10;AffectiveUnlikable
50;0;AffectiveUnlikable
0;30;AffectiveUnlikable
68.5;3.5;AffectiveUnlikable
100;5;AffectiveUnlikable
60;0;AffectiveUnlikable
90;1.5;AffectiveUnlikable
58;23;AffectiveUnlikable
75;10;AffectiveUnlikable
