;ROI;Classification accuracy;Class
409;ATL;0.580060235;likableness
410;ATL;0.658333022;likableness
411;ATL;0.582521281;likableness
412;ATL;0.539837216;likableness
413;ATL;0.559934725;likableness
414;ATL;0.592962839;likableness
415;ATL;0.495527492;likableness
416;ATL;0.507476478;likableness
417;ATL;0.563679187;likableness
418;ATL;0.569058642;likableness
419;ATL;0.544099711;likableness
420;aPFC;0.628355548;likableness
421;aPFC;0.543021642;likableness
422;aPFC;0.603662634;likableness
423;aPFC;0.544361061;likableness
424;aPFC;0.560247411;likableness
425;aPFC;0.633901459;likableness
426;aPFC;0.582063919;likableness
427;aPFC;0.571749925;likableness
428;aPFC;0.571158776;likableness
429;aPFC;0.603692192;likableness
430;aPFC;0.667178477;likableness
431;aPFC;0.525000933;likableness
432;aPFC;0.450693511;likableness
433;aPFC;0.550953928;likableness
434;aPFC;0.519350794;likableness
435;aPFC;0.614449547;likableness
436;aPFC;0.538102661;likableness
437;aPFC;0.473793434;likableness
438;aPFC;0.563651185;likableness
439;aPFC;0.554356145;likableness
440;aPFC;0.709632305;likableness
441;aPFC;0.604474686;likableness
442;aPFC;0.592071448;likableness
443;aPFC;0.61404041;likableness
444;aPFC;0.584839207;likableness
445;aPFC;0.571149442;likableness
446;aPFC;0.580824062;likableness
447;aPFC;0.49216261;likableness
448;aPFC;0.698504704;likableness
449;aPFC;0.550964817;likableness
450;Ins;0.539788991;likableness
451;Ins;0.550726802;likableness
452;Ins;0.574573439;likableness
453;Ins;0.550018979;likableness
454;Ins;0.570079152;likableness
455;Ins;0.562910693;likableness
456;Ins;0.519643257;likableness
457;Ins;0.542159809;likableness
458;Ins;0.517555568;likableness
459;Ins;0.578391017;likableness
460;Ins;0.606377253;likableness
461;Ins;0.54626985;likableness
462;Ins;0.477719907;likableness
463;Ins;0.566491811;likableness
464;Ins;0.505805705;likableness
465;Ins;0.557182771;likableness
466;Ins;0.537029259;likableness
467;Ins;0.531539352;likableness
468;Ins;0.554332811;likableness
469;Ins;0.548606444;likableness
470;Ins;0.601081803;likableness
471;Ins;0.599589929;likableness
472;Ins;0.528588274;likableness
473;Ins;0.592228569;likableness
474;Ins;0.552805157;likableness
475;Ins;0.578072108;likableness
476;Ins;0.610754866;likableness
477;Ins;0.558329289;likableness
478;Ins;0.598438745;likableness
479;Ins;0.601223367;likableness
480;ACC;0.680704898;likableness
481;ACC;0.571460573;likableness
482;ACC;0.657356071;likableness
483;ACC;0.536332325;likableness
484;ACC;0.644031885;likableness
485;ACC;0.571371901;likableness
486;ACC;0.65423076;likableness
487;ACC;0.594660058;likableness
488;ACC;0.609222546;likableness
489;ACC;0.654011412;likableness
490;ACC;0.687008413;likableness
491;ACC;0.552648036;likableness
492;ACC;0.522032743;likableness
493;ACC;0.563540733;likableness
494;ACC;0.5201364;likableness
495;ACC;0.680846463;likableness
496;ACC;0.50800229;likableness
497;ACC;0.56756988;likableness
498;ACC;0.542372934;likableness
499;ACC;0.549981643;likableness
500;ACC;0.72434258;likableness
501;ACC;0.593371976;likableness
502;ACC;0.585652815;likableness
503;ACC;0.663046657;likableness
504;ACC;0.650248283;likableness
505;ACC;0.588356544;likableness
506;ACC;0.597981382;likableness
507;ACC;0.535633836;likableness
508;ACC;0.715324447;likableness
509;ACC;0.581267423;likableness
510;PCC;0.489066856;likableness
511;PCC;0.564760367;likableness
512;PCC;0.571353233;likableness
513;PCC;0.539865218;likableness
514;PCC;0.550893257;likableness
515;PCC;0.576645572;likableness
516;PCC;0.581160083;likableness
517;PCC;0.566375137;likableness
518;PCC;0.56667849;likableness
519;PCC;0.61831535;likableness
520;PCC;0.627251033;likableness
521;PCC;0.51982838;likableness
522;PCC;0.511941209;likableness
523;PCC;0.571872822;likableness
524;PCC;0.526265681;likableness
525;PCC;0.513540422;likableness
526;PCC;0.529054971;likableness
527;PCC;0.549457387;likableness
528;PCC;0.512339456;likableness
529;PCC;0.594246254;likableness
530;PCC;0.582244375;likableness
531;PCC;0.565395074;likableness
532;PCC;0.588079637;likableness
533;PCC;0.580455371;likableness
534;PCC;0.592101006;likableness
535;PCC;0.539267846;likableness
536;PCC;0.555367321;likableness
537;PCC;0.550859033;likableness
538;PCC;0.645375971;likableness
539;PCC;0.548401098;likableness
540;V1;0.518019153;likableness
541;V1;0.513509309;likableness
542;V1;0.518644527;likableness
543;V1;0.543737244;likableness
544;V1;0.536954587;likableness
545;V1;0.541563993;likableness
546;V1;0.474516814;likableness
547;V1;0.533381248;likableness
548;V1;0.513084615;likableness
549;V1;0.529123419;likableness
550;V1;0.582550839;likableness
551;V1;0.460727487;likableness
552;V1;0.500220903;likableness
553;V1;0.470003858;likableness
554;V1;0.491599462;likableness
555;V1;0.495886848;likableness
556;V1;0.487700991;likableness
557;V1;0.51037622;likableness
558;V1;0.515203417;likableness
559;V1;0.520452198;likableness
