,ID,accuracy,ROI,class,cv
384,sub-025,18.2716967,ATL,likableness,chunk
385,sub-026,1.2879595,ATL,likableness,chunk
386,sub-027,9.9739853,ATL,likableness,chunk
387,sub-028,10.6113162,ATL,likableness,chunk
388,sub-029,2.1301733,ATL,likableness,chunk
389,sub-030,12.5376137,ATL,likableness,chunk
390,sub-001,7.5532401,aPFC,likableness,chunk
391,sub-002,8.9516467,aPFC,likableness,chunk
392,sub-003,16.5319037,aPFC,likableness,chunk
393,sub-004,21.4596711,aPFC,likableness,chunk
394,sub-005,8.7613075,aPFC,likableness,chunk
395,sub-006,12.9900017,aPFC,likableness,chunk
396,sub-007,13.1705839,aPFC,likableness,chunk
397,sub-008,15.1066249,aPFC,likableness,chunk
398,sub-009,11.2678492,aPFC,likableness,chunk
399,sub-010,16.5780534,aPFC,likableness,chunk
400,sub-011,17.6783047,aPFC,likableness,chunk
401,sub-012,9.5134962,aPFC,likableness,chunk
402,sub-013,-3.6934532,aPFC,likableness,chunk
403,sub-014,-0.6147063,aPFC,likableness,chunk
404,sub-015,6.910093,aPFC,likableness,chunk
405,sub-016,9.1010343,aPFC,likableness,chunk
406,sub-017,10.1580545,aPFC,likableness,chunk
407,sub-018,7.4779562,aPFC,likableness,chunk
408,sub-019,1.3887968,aPFC,likableness,chunk
409,sub-020,4.85965,aPFC,likableness,chunk
410,sub-021,9.6962833,aPFC,likableness,chunk
411,sub-022,16.6401814,aPFC,likableness,chunk
412,sub-023,14.9308464,aPFC,likableness,chunk
413,sub-024,16.3800521,aPFC,likableness,chunk
414,sub-025,27.2194998,aPFC,likableness,chunk
415,sub-026,9.1972362,aPFC,likableness,chunk
416,sub-027,26.8728103,aPFC,likableness,chunk
417,sub-028,6.3306234,aPFC,likableness,chunk
418,sub-029,12.8720605,aPFC,likableness,chunk
419,sub-030,4.9134348,aPFC,likableness,chunk
420,sub-001,5.5624669,Ins,likableness,chunk
421,sub-002,4.8384389,Ins,likableness,chunk
422,sub-003,7.7924152,Ins,likableness,chunk
423,sub-004,20.1735576,Ins,likableness,chunk
424,sub-005,5.7380597,Ins,likableness,chunk
425,sub-006,8.249681,Ins,likableness,chunk
426,sub-007,7.828912,Ins,likableness,chunk
427,sub-008,8.4010349,Ins,likableness,chunk
428,sub-009,9.8892889,Ins,likableness,chunk
429,sub-010,6.167585,Ins,likableness,chunk
430,sub-011,11.8315467,Ins,likableness,chunk
431,sub-012,10.4400891,Ins,likableness,chunk
432,sub-013,0.446663,Ins,likableness,chunk
433,sub-014,0.5715735,Ins,likableness,chunk
434,sub-015,4.8160142,Ins,likableness,chunk
435,sub-016,12.0913064,Ins,likableness,chunk
436,sub-017,7.0960491,Ins,likableness,chunk
437,sub-018,5.8908451,Ins,likableness,chunk
438,sub-019,10.9200361,Ins,likableness,chunk
439,sub-020,3.1739622,Ins,likableness,chunk
440,sub-021,6.7810856,Ins,likableness,chunk
441,sub-022,11.8490518,Ins,likableness,chunk
442,sub-023,11.0648441,Ins,likableness,chunk
443,sub-024,17.8620656,Ins,likableness,chunk
444,sub-025,14.0627289,Ins,likableness,chunk
445,sub-026,10.286983,Ins,likableness,chunk
446,sub-027,12.6043364,Ins,likableness,chunk
447,sub-028,11.9083041,Ins,likableness,chunk
448,sub-029,14.5260279,Ins,likableness,chunk
449,sub-030,13.7358294,Ins,likableness,chunk
450,sub-001,11.2749641,ACC,likableness,chunk
451,sub-002,6.9964176,ACC,likableness,chunk
452,sub-003,16.4051376,ACC,likableness,chunk
453,sub-004,25.8919621,ACC,likableness,chunk
454,sub-005,15.2600595,ACC,likableness,chunk
455,sub-006,11.9651985,ACC,likableness,chunk
456,sub-007,15.2119253,ACC,likableness,chunk
457,sub-008,6.8293054,ACC,likableness,chunk
458,sub-009,13.2959477,ACC,likableness,chunk
459,sub-010,18.3234414,ACC,likableness,chunk
460,sub-011,21.2021289,ACC,likableness,chunk
461,sub-012,11.0660615,ACC,likableness,chunk
462,sub-013,6.8243718,ACC,likableness,chunk
463,sub-014,4.0324875,ACC,likableness,chunk
464,sub-015,6.6161192,ACC,likableness,chunk
465,sub-016,9.0815289,ACC,likableness,chunk
466,sub-017,4.6602505,ACC,likableness,chunk
467,sub-018,18.971968,ACC,likableness,chunk
468,sub-019,11.2405898,ACC,likableness,chunk
469,sub-020,4.8838773,ACC,likableness,chunk
470,sub-021,3.2816641,ACC,likableness,chunk
471,sub-022,20.1137942,ACC,likableness,chunk
472,sub-023,17.4722001,ACC,likableness,chunk
473,sub-024,15.594558,ACC,likableness,chunk
474,sub-025,25.8044127,ACC,likableness,chunk
475,sub-026,11.755538,ACC,likableness,chunk
476,sub-027,24.7533779,ACC,likableness,chunk
477,sub-028,5.0176001,ACC,likableness,chunk
478,sub-029,15.1891923,ACC,likableness,chunk
479,sub-030,8.359423,ACC,likableness,chunk
480,sub-001,10.1033501,PCC,likableness,chunk
481,sub-002,3.5602606,PCC,likableness,chunk
482,sub-003,0.6073508,PCC,likableness,chunk
483,sub-004,20.1814388,PCC,likableness,chunk
484,sub-005,6.9772438,PCC,likableness,chunk
485,sub-006,7.39581,PCC,likableness,chunk
486,sub-007,12.5538305,PCC,likableness,chunk
487,sub-008,6.2636763,PCC,likableness,chunk
488,sub-009,8.6369321,PCC,likableness,chunk
489,sub-010,12.6977429,PCC,likableness,chunk
490,sub-011,18.1324824,PCC,likableness,chunk
491,sub-012,6.6311979,PCC,likableness,chunk
492,sub-013,2.1600672,PCC,likableness,chunk
493,sub-014,7.0863849,PCC,likableness,chunk
494,sub-015,7.1667922,PCC,likableness,chunk
495,sub-016,7.50922,PCC,likableness,chunk
496,sub-017,5.8556535,PCC,likableness,chunk
497,sub-018,2.6384908,PCC,likableness,chunk
498,sub-019,7.2833417,PCC,likableness,chunk
499,sub-020,10.5107472,PCC,likableness,chunk
500,sub-021,6.6663141,PCC,likableness,chunk
501,sub-022,14.4374926,PCC,likableness,chunk
502,sub-023,8.0799856,PCC,likableness,chunk
503,sub-024,17.9259146,PCC,likableness,chunk
504,sub-025,9.2772427,PCC,likableness,chunk
505,sub-026,1.8524525,PCC,likableness,chunk
506,sub-027,18.1907849,PCC,likableness,chunk
507,sub-028,6.7404157,PCC,likableness,chunk
508,sub-029,7.0947729,PCC,likableness,chunk
509,sub-030,13.2481358,PCC,likableness,chunk
510,sub-001,3.704667,V1,likableness,chunk
511,sub-002,5.30919,V1,likableness,chunk
512,sub-003,5.3893686,V1,likableness,chunk
513,sub-004,12.1651986,V1,likableness,chunk
514,sub-005,6.8400775,V1,likableness,chunk
515,sub-006,5.7997562,V1,likableness,chunk
516,sub-007,4.9380685,V1,likableness,chunk
517,sub-008,2.5281522,V1,likableness,chunk
518,sub-009,2.8504185,V1,likableness,chunk
519,sub-010,0.840173,V1,likableness,chunk
520,sub-011,10.1165401,V1,likableness,chunk
521,sub-012,2.9932805,V1,likableness,chunk
522,sub-013,1.4866889,V1,likableness,chunk
523,sub-014,-2.5903896,V1,likableness,chunk
524,sub-015,-7.0628019,V1,likableness,chunk
525,sub-016,6.3863916,V1,likableness,chunk
526,sub-017,1.6851247,V1,likableness,chunk
527,sub-018,0.0517864,V1,likableness,chunk
528,sub-019,2.8967026,V1,likableness,chunk
529,sub-020,7.408069,V1,likableness,chunk
530,sub-021,3.5687208,V1,likableness,chunk
531,sub-022,7.3159419,V1,likableness,chunk
532,sub-023,11.4188476,V1,likableness,chunk
533,sub-024,11.0606501,V1,likableness,chunk
534,sub-025,1.4803167,V1,likableness,chunk
535,sub-026,4.1688541,V1,likableness,chunk
536,sub-027,10.3968089,V1,likableness,chunk
537,sub-028,3.6523168,V1,likableness,chunk
538,sub-029,3.0172089,V1,likableness,chunk
539,sub-030,11.6610996,V1,likableness,chunk
540,sub-001,9.85715,LTL,affect,concept
541,sub-002,12.6266202,LTL,affect,concept
542,sub-003,2.5408151,LTL,affect,concept
543,sub-004,11.264731,LTL,affect,concept
544,sub-005,0.8352555,LTL,affect,concept
545,sub-006,-3.1558499,LTL,affect,concept
546,sub-007,6.5539094,LTL,affect,concept
547,sub-008,3.6237333,LTL,affect,concept
548,sub-009,1.7857614,LTL,affect,concept
549,sub-010,0.8716491,LTL,affect,concept
550,sub-011,1.3030505,LTL,affect,concept
551,sub-012,2.2078243,LTL,affect,concept
552,sub-013,13.7469139,LTL,affect,concept
553,sub-014,20.0959986,LTL,affect,concept
554,sub-015,1.3558124,LTL,affect,concept
555,sub-016,13.6284404,LTL,affect,concept
556,sub-017,4.4916958,LTL,affect,concept
557,sub-018,7.8114942,LTL,affect,concept
558,sub-019,7.8274399,LTL,affect,concept
559,sub-020,9.7564185,LTL,affect,concept
560,sub-021,-4.1952582,LTL,affect,concept
561,sub-022,7.7877774,LTL,affect,concept
562,sub-023,12.2713507,LTL,affect,concept
563,sub-024,2.9587903,LTL,affect,concept
564,sub-025,9.1445571,LTL,affect,concept
565,sub-026,9.3050413,LTL,affect,concept
566,sub-027,10.7707883,LTL,affect,concept
567,sub-028,2.0159235,LTL,affect,concept
568,sub-029,3.8703509,LTL,affect,concept
569,sub-030,0.148094,LTL,affect,concept
570,sub-001,4.4152877,IFG,affect,concept
571,sub-002,11.8318442,IFG,affect,concept
