roi;accuracy;category
1_LTL;0.019120028055353826;semantic
4_ATL;0.013837425577626985;intersection
2_IFG;0.022034961852949408;semantic
6_Ins;0.00954415602675402;social
8_PCC;0.020423278675574728;social
5_aPFC;0.021344110386541687;intersection
3_Prec;0.021606254278714338;semantic
9_V1;0.00834036960890084;control
7_ACC;0.018730063657800437;social
1_LTL;0.014541623438630151;semantic
4_ATL;0.014775458783900084;intersection
2_IFG;0.029994273512299233;semantic
6_Ins;0.013118276653115673;social
8_PCC;0.017750460537874196;social
5_aPFC;0.022812673956415824;intersection
3_Prec;0.0067845508877448805;semantic
9_V1;0.00688737041585259;control
7_ACC;0.03784209956561388;social
1_LTL;0.04436896493773299;semantic
4_ATL;0.06565688387510832;intersection
2_IFG;0.07082354019510798;semantic
6_Ins;0.03841106021014294;social
8_PCC;0.0453378248272713;social
5_aPFC;0.07361598556509819;intersection
3_Prec;0.03535504337050154;semantic
9_V1;0.035534360734781625;control
7_ACC;0.020042226445969476;social
1_LTL;0.00746917371884481;semantic
4_ATL;0.009434704705618642;intersection
2_IFG;0.017647545919265845;semantic
6_Ins;0.01576955253527465;social
8_PCC;0.020629758149136767;social
5_aPFC;0.01277711638390918;intersection
3_Prec;0.02525258790461977;semantic
9_V1;0.010400677414278123;control
7_ACC;0.04328025152151775;social
1_LTL;0.12891477137677537;semantic
4_ATL;0.015677382785055028;intersection
2_IFG;0.051614889731244305;semantic
6_Ins;0.033819146567987034;social
8_PCC;0.03414304838176039;social
5_aPFC;0.028556005055738996;intersection
3_Prec;0.025955801485064888;semantic
9_V1;0.01700255417552813;control
7_ACC;0.014998301891823291;social
1_LTL;0.045574173902349864;semantic
4_ATL;0.02366400562243549;intersection
2_IFG;0.014091920993674652;semantic
6_Ins;0.02739402293544143;social
8_PCC;0.008452100692975351;social
5_aPFC;0.02739402293544143;intersection
3_Prec;0.012870635160409968;semantic
9_V1;0.029731394799359857;control
7_ACC;0.050902241219951856;social
1_LTL;0.03872239946648815;semantic
4_ATL;0.04679432630801056;intersection
2_IFG;0.032579174405285814;semantic
6_Ins;0.04679432630801056;social
8_PCC;0.04730959378164885;social
5_aPFC;0.050902241219951856;intersection
3_Prec;0.04730959378164885;semantic
9_V1;0.03839984216468537;control
7_ACC;0.007857114015938345;social
1_LTL;0.028514152673984817;semantic
4_ATL;0.03261985705312979;intersection
2_IFG;0.015477306397497843;semantic
6_Ins;0.03261985705312979;social
8_PCC;0.006685137914140028;social
5_aPFC;0.062489446987263914;intersection
3_Prec;0.018965654950077293;semantic
9_V1;0.011199641346985421;control
